Date (UTC),Heure UTC,Heure locale,HF (m),LF (m),Température eau (°C)
2025-07-14,00:47:23.45,20:47:23,0.674,3.304,24.1
2025-07-14,00:47:24.45,20:47:24,0.674,3.304,24.1
2025-07-14,00:47:25.45,20:47:25,0.674,3.304,24.1
2025-07-14,00:47:26.45,20:47:26,0.674,3.304,24.0
2025-07-14,00:47:27.45,20:47:27,0.674,3.304,24.1
2025-07-14,00:47:28.45,20:47:28,0.673,3.304,24.1
2025-07-14,00:47:29.45,20:47:29,0.674,3.305,24.1
2025-07-14,00:47:30.45,20:47:30,0.674,3.305,24.1
2025-07-14,00:47:31.45,20:47:31,0.674,3.305,24.1
2025-07-14,00:47:32.45,20:47:32,0.674,3.304,24.1
2025-07-14,00:47:33.45,20:47:33,0.674,3.304,24.0
2025-07-14,00:47:34.45,20:47:34,0.674,3.304,24.1
